"Date","Open","High","Low","Close","Volume","OpenInt"
11/27/2001,99.18750,99.62500,99.18750,99.62500,1,0
11/28/2001,99.62500,99.62500,99.62500,99.62500,0,0
11/29/2001,100.90620,100.90620,100.90620,100.90620,0,0
11/30/2001,100.65620,100.65620,100.65620,100.65620,0,0
12/03/2001,101.06250,101.06250,101.06250,101.06250,0,0
12/04/2001,101.96880,101.96880,101.96880,101.96880,868,0
12/05/2001,99.59380,99.59380,99.59380,99.59380,0,0
12/06/2001,98.53120,98.53120,98.53120,98.53120,0,0
12/07/2001,96.34380,96.34380,96.34380,96.34380,0,0
12/10/2001,96.81250,96.81250,96.81250,96.81250,0,0
12/11/2001,97.21880,97.21880,97.21880,97.21880,0,0
12/12/2001,98.21880,98.21880,98.21880,98.21880,0,0
12/13/2001,97.28120,97.28120,97.28120,97.28120,0,0
12/14/2001,96.56250,96.56250,96.56250,96.56250,0,0
12/17/2001,96.21880,96.21880,96.21880,96.21880,0,0
12/18/2001,97.43750,97.43750,97.43750,97.43750,0,0
12/19/2001,98.34380,98.34380,98.34380,98.34380,0,0
12/20/2001,98.28120,98.28120,98.28120,98.28120,0,0
12/21/2001,97.96880,97.96880,97.96880,97.96880,0,0
12/24/2001,97.56250,97.56250,97.56250,97.56250,0,0
12/26/2001,97.18750,97.18750,97.18750,97.18750,0,0
12/27/2001,97.81250,97.81250,97.81250,97.81250,60,0
12/28/2001,97.31250,97.31250,97.31250,97.31250,0,0
12/31/2001,98.34380,98.34380,98.34380,98.34380,0,0
01/02/2002,96.90620,96.90620,96.90620,96.90620,0,0
01/03/2002,97.25000,97.25000,97.25000,97.25000,0,0
01/04/2002,97.00000,97.00000,97.00000,97.00000,14,14
01/07/2002,98.21880,98.21880,98.21880,98.21880,0,14
01/08/2002,98.15620,98.15620,98.15620,98.15620,0,14
01/09/2002,98.28120,98.28120,98.28120,98.28120,0,14
01/10/2002,99.59380,99.59380,99.59380,99.59380,0,14
01/11/2002,100.21880,100.21880,100.21880,100.21880,30,39
01/14/2002,99.93750,99.93750,99.93750,99.93750,0,39
01/15/2002,100.53120,100.53120,100.53120,100.53120,0,39
01/16/2002,100.40620,100.40620,100.40620,100.40620,5,39
01/17/2002,99.71880,99.71880,99.71880,99.71880,0,39
01/18/2002,100.34380,100.34380,100.34380,100.34380,0,39
01/22/2002,100.21880,100.21880,100.21880,100.21880,1,39
01/23/2002,98.93750,98.93750,98.93750,98.93750,0,39
01/24/2002,99.00000,99.00000,99.00000,99.00000,0,39
01/25/2002,98.93750,98.93750,98.93750,98.93750,0,39
01/28/2002,99.09380,99.09380,99.09380,99.09380,0,39
01/29/2002,100.03120,100.03120,100.03120,100.03120,0,49
01/30/2002,100.03120,100.03120,100.03120,100.03120,0,49
01/31/2002,99.75000,99.75000,99.75000,99.75000,10,59
02/01/2002,100.21880,100.21880,100.21880,100.21880,50,40
02/04/2002,101.00000,101.00000,101.00000,101.00000,0,40
02/05/2002,100.93750,100.93750,100.93750,100.93750,50,90
02/06/2002,100.53120,100.53120,100.53120,100.53120,62,152
02/07/2002,100.06250,100.15620,100.06250,100.15620,13,155
02/08/2002,100.06250,100.65620,99.96880,100.65620,40,187
02/11/2002,100.37500,100.37500,100.37500,100.37500,0,187
02/12/2002,99.62500,99.62500,99.62500,99.62500,0,185
02/13/2002,99.56250,99.56250,99.56250,99.56250,0,185
02/14/2002,100.21880,100.21880,100.21880,100.21880,0,185
02/15/2002,101.15620,101.15620,101.03120,101.06250,2,187
02/19/2002,100.75000,100.75000,100.75000,100.75000,0,187
02/20/2002,100.78120,100.78120,100.78120,100.78120,0,187
02/21/2002,101.06250,101.06250,101.06250,101.06250,0,187
02/22/2002,101.53120,101.53120,101.53120,101.53120,0,187
02/25/2002,101.34380,101.34380,101.34380,101.34380,0,187
02/26/2002,100.53120,100.53120,100.53120,100.53120,0,187
02/27/2002,101.31250,101.31250,101.31250,101.31250,0,187
02/28/2002,100.90620,100.90620,100.90620,100.90620,11,198
03/01/2002,99.84380,99.84380,99.84380,99.84380,0,187
03/04/2002,99.75000,99.75000,99.75000,99.75000,0,187
03/05/2002,99.93750,99.93750,99.93750,99.93750,0,187
03/06/2002,99.37500,99.37500,99.37500,99.37500,0,187
03/07/2002,97.75000,97.75000,97.75000,97.75000,0,187
03/08/2002,96.96880,96.96880,96.96880,96.96880,0,187
03/11/2002,97.34380,97.34380,96.93750,96.93750,10,197
03/12/2002,97.15620,97.15620,96.96880,96.96880,5,202
03/13/2002,97.25000,97.25000,97.18750,97.18750,1,203
03/14/2002,96.12500,96.12500,95.87500,95.87500,16,193
03/15/2002,96.65620,96.65620,96.65620,96.65620,0,193
03/18/2002,97.21880,97.21880,97.21880,97.21880,85,264
03/19/2002,96.87500,96.87500,96.87500,96.87500,0,264
03/20/2002,96.06250,96.06250,96.06250,96.06250,0,264
03/21/2002,96.50000,96.50000,96.50000,96.50000,0,264
03/22/2002,96.46880,96.46880,96.25000,96.25000,2,266
03/25/2002,95.81250,96.37500,95.81250,96.37500,1,267
03/26/2002,96.84380,97.09380,96.84380,97.09380,1,266
03/27/2002,97.12500,97.12500,97.12500,97.12500,0,266
03/28/2002,96.18750,96.28120,96.18750,96.28120,6,272
04/01/2002,96.37500,96.37500,96.37500,96.37500,0,272
04/02/2002,97.28120,97.28120,97.28120,97.28120,68,254
04/03/2002,97.12500,97.87500,97.12500,97.87500,7,252
