"Date","Open","High","Low","Close","Volume","OpenInt"
04/18/2000,96.81250,97.00000,96.81250,96.96875,0,0
04/19/2000,97.84375,97.84375,97.84375,97.84375,0,1
04/20/2000,97.90625,97.90625,97.90625,97.90625,0,1
04/24/2000,97.46875,97.46875,97.46875,97.46875,0,1
04/25/2000,96.87500,96.87500,96.87500,96.87500,0,1
04/26/2000,96.75000,96.75000,96.75000,96.75000,0,1
04/27/2000,96.03125,96.03125,96.03125,96.03125,0,1
04/28/2000,96.34375,96.34375,96.34375,96.34375,0,1
05/01/2000,96.25000,96.25000,96.25000,96.25000,0,1
05/02/2000,95.59375,95.59375,95.59375,95.59375,0,1
05/03/2000,94.53125,94.53125,94.53125,94.53125,0,1
05/04/2000,93.56250,93.56250,93.56250,93.56250,0,1
05/05/2000,93.31250,93.31250,93.31250,93.31250,0,1
05/08/2000,92.62500,92.62500,92.62500,92.62500,0,1
05/09/2000,93.21875,93.21875,93.21875,93.21875,0,1
05/10/2000,93.84375,93.84375,93.84375,93.84375,0,1
05/11/2000,94.03125,94.03125,94.03125,94.03125,0,1
05/12/2000,93.28125,93.28125,93.28125,93.28125,0,1
05/15/2000,93.87500,93.87500,93.87500,93.87500,0,1
05/16/2000,94.37500,94.37500,94.37500,94.37500,0,1
05/17/2000,93.90625,93.90625,93.90625,93.90625,0,1
05/18/2000,93.00000,93.00000,93.00000,93.00000,0,1
05/19/2000,93.21875,93.21875,93.21875,93.21875,0,1
05/22/2000,93.93750,93.93750,93.93750,93.93750,0,1
05/23/2000,93.96875,93.96875,93.96875,93.96875,0,1
05/24/2000,93.65625,93.65625,93.65625,93.65625,0,1
05/25/2000,94.81250,94.81250,94.81250,94.81250,0,1
05/26/2000,95.28125,95.28125,95.28125,95.28125,0,1
05/30/2000,94.75000,94.75000,94.75000,94.75000,0,1
05/31/2000,95.68750,95.68750,95.68750,95.68750,0,1
06/01/2000,96.43750,96.43750,96.43750,96.43750,0,1
06/02/2000,96.59375,96.59375,96.59375,96.59375,0,1
06/05/2000,96.93750,96.93750,96.93750,96.93750,0,1
06/06/2000,96.90625,96.90625,96.90625,96.90625,0,1
06/07/2000,97.21875,97.21875,97.21875,97.21875,0,1
06/08/2000,97.40625,97.40625,97.40625,97.40625,0,1
06/09/2000,97.31250,97.31250,97.31250,97.31250,0,1
06/12/2000,97.50000,97.50000,97.50000,97.50000,0,1
06/13/2000,96.68750,96.68750,96.68750,96.68750,0,1
06/14/2000,97.25000,97.25000,97.25000,97.25000,0,11
06/15/2000,97.09375,97.09375,97.09375,97.09375,0,11
06/16/2000,97.68750,97.68750,97.68750,97.68750,0,11
06/19/2000,97.40625,97.40625,97.40625,97.40625,0,11
06/20/2000,97.28125,97.28125,97.28125,97.28125,0,11
06/21/2000,96.59375,96.59375,96.59375,96.59375,0,11
06/22/2000,96.50000,96.50000,96.50000,96.50000,0,11
06/23/2000,95.87500,95.87500,95.87500,95.87500,0,11
06/26/2000,96.40625,96.40625,96.40625,96.40625,0,11
06/27/2000,96.65625,96.71875,96.65625,96.71875,1,12
06/28/2000,96.37500,96.37500,96.37500,96.37500,0,12
06/29/2000,97.40625,97.40625,97.40625,97.40625,0,12
06/30/2000,97.25000,97.25000,97.25000,97.25000,0,12
07/03/2000,97.59375,97.59375,97.59375,97.59375,0,12
07/05/2000,97.62500,97.62500,97.62500,97.62500,0,12
07/06/2000,97.12500,97.12500,97.12500,97.12500,0,12
07/07/2000,97.56250,97.56250,97.56250,97.56250,0,12
07/10/2000,97.46875,97.46875,97.46875,97.46875,10,2
07/11/2000,97.46875,97.46875,97.46875,97.46875,0,2
07/12/2000,97.43750,97.43750,97.43750,97.43750,0,2
07/13/2000,98.34375,98.34375,98.34375,98.34375,0,2
07/14/2000,97.43750,97.43750,97.43750,97.43750,1,3
07/17/2000,96.81250,96.81250,96.81250,96.81250,0,2
07/18/2000,96.84375,96.84375,96.84375,96.84375,0,2
07/19/2000,96.81250,96.81250,96.81250,96.81250,0,2
07/20/2000,98.37500,98.37500,98.37500,98.37500,2,4
07/21/2000,98.59375,98.59375,98.59375,98.59375,0,2
07/24/2000,98.34375,98.34375,98.34375,98.34375,0,2
07/25/2000,98.43750,98.43750,98.43750,98.43750,0,2
07/26/2000,98.34375,98.34375,98.34375,98.34375,0,2
07/27/2000,98.84375,98.84375,98.84375,98.84375,0,2
07/28/2000,98.62500,98.62500,98.62500,98.62500,0,2
07/31/2000,98.50000,98.50000,98.50000,98.50000,60,30
08/01/2000,98.87500,98.87500,98.87500,98.87500,0,30
08/02/2000,98.96875,98.96875,98.96875,98.96875,0,30
08/03/2000,99.31250,99.31250,99.31250,99.31250,5,45
08/04/2000,99.62500,99.62500,99.62500,99.62500,0,50
08/07/2000,99.25000,99.25000,99.25000,99.25000,0,50
08/08/2000,99.62500,99.62500,99.62500,99.62500,0,50
08/09/2000,99.75000,99.75000,99.75000,99.75000,0,50
08/10/2000,100.03125,100.03125,100.03125,100.03125,0,50
08/11/2000,99.65625,99.65625,99.65625,99.65625,0,50
08/14/2000,100.00000,100.00000,100.00000,100.00000,562,612
08/15/2000,99.75000,99.75000,99.75000,99.75000,1,612
08/16/2000,99.50000,99.50000,99.50000,99.50000,1,612
08/17/2000,99.81250,99.81250,99.81250,99.81250,1,612
08/18/2000,100.18750,100.18750,100.18750,100.18750,1,612
08/21/2000,99.96875,99.96875,99.96875,99.96875,1,50
08/22/2000,100.09375,100.09375,100.09375,100.09375,31,81
08/23/2000,100.50000,100.50000,100.50000,100.50000,1,81
08/24/2000,100.59375,100.59375,100.59375,100.59375,1,81
08/25/2000,100.56250,100.56250,100.56250,100.56250,1,81
08/28/2000,99.96875,99.96875,99.96875,99.96875,1,81
08/29/2000,99.62500,99.65625,99.62500,99.65625,1,80
08/30/2000,99.78125,99.78125,99.78125,99.78125,1,80
08/31/2000,100.50000,100.50000,100.50000,100.50000,1,80
09/01/2000,100.65625,100.65625,100.65625,100.65625,1,80
09/05/2000,100.68750,100.68750,100.68750,100.68750,1,80
09/06/2000,100.25000,100.25000,100.12500,100.12500,27,65
09/07/2000,99.90625,99.90625,99.90625,99.90625,1,65
09/08/2000,100.18750,100.18750,100.18750,100.18750,1,65
09/11/2000,99.78125,99.78125,99.78125,99.78125,1,65
09/12/2000,99.65625,99.65625,99.65625,99.65625,1,65
09/13/2000,99.93750,99.93750,99.93750,99.93750,1,65
09/14/2000,99.12500,99.12500,99.12500,99.12500,1,65
09/15/2000,98.18750,98.25000,98.18750,98.25000,2,66
09/18/2000,97.78125,97.78125,97.78125,97.78125,17,82
09/19/2000,97.96875,97.96875,97.96875,97.96875,1,82
09/20/2000,97.50000,97.50000,97.50000,97.50000,1,82
09/21/2000,98.00000,98.00000,98.00000,98.00000,1,82
09/22/2000,98.03125,98.03125,98.03125,98.03125,100,182
09/25/2000,98.21875,98.21875,98.21875,98.21875,0,82
09/26/2000,98.68750,98.68750,98.68750,98.68750,1,82
09/27/2000,98.25000,98.25000,98.25000,98.25000,1,82
09/28/2000,98.40625,98.40625,98.40625,98.40625,1,82
09/29/2000,98.56250,98.56250,98.56250,98.56250,1,82
10/02/2000,98.00000,98.00000,98.00000,98.00000,1,82
10/03/2000,97.78125,97.78125,97.78125,97.78125,1,82
10/04/2000,97.71875,97.71875,97.71875,97.71875,40,122
10/05/2000,98.18750,98.18750,98.18750,98.18750,0,122
10/06/2000,98.78125,98.78125,98.78125,98.78125,0,82
10/10/2000,99.06250,99.06250,99.06250,99.06250,1,82
10/11/2000,99.09375,99.09375,99.09375,99.09375,32,134
10/12/2000,99.37500,99.37500,99.37500,99.37500,22,136
10/13/2000,99.40625,99.40625,99.40625,99.40625,0,136
10/16/2000,99.21875,99.21875,99.21875,99.21875,0,136
10/17/2000,100.00000,100.00000,100.00000,100.00000,10,136
10/18/2000,99.93750,99.93750,99.93750,99.93750,0,136
10/19/2000,100.15625,100.15625,100.15625,100.15625,0,136
10/20/2000,100.56250,100.56250,100.56250,100.56250,7,136
10/23/2000,101.15625,101.15625,101.15625,101.15625,0,136
10/24/2000,100.75000,100.75000,100.75000,100.75000,0,136
10/25/2000,100.28125,100.28125,100.28125,100.28125,0,136
10/26/2000,100.43750,100.43750,100.43750,100.43750,0,136
10/27/2000,100.34375,100.34375,100.34375,100.34375,0,136
10/30/2000,100.28125,100.28125,100.28125,100.28125,0,136
10/31/2000,99.78125,99.78125,99.78125,99.78125,0,136
11/01/2000,99.96875,99.96875,99.96875,99.96875,0,136
11/02/2000,99.87500,99.87500,99.87500,99.87500,0,136
11/03/2000,98.93750,98.93750,98.93750,98.93750,20,156
11/06/2000,98.65625,98.65625,98.65625,98.65625,0,156
11/07/2000,98.65625,98.65625,98.65625,98.65625,0,156
11/08/2000,98.93750,98.93750,98.93750,98.93750,108,174
11/09/2000,99.28125,99.28125,99.28125,99.28125,100,256
11/10/2000,99.09375,99.09375,99.09375,99.09375,15,271
11/13/2000,99.50000,99.62500,99.50000,99.56250,2,272
11/14/2000,99.90625,99.90625,99.90625,99.90625,5,277
11/15/2000,100.37500,100.37500,100.37500,100.37500,0,277
11/16/2000,100.62500,100.62500,100.62500,100.62500,20,297
11/17/2000,100.28125,100.28125,100.28125,100.28125,111,332
11/20/2000,100.43750,100.43750,100.43750,100.43750,0,332
11/21/2000,100.37500,100.68750,100.37500,100.68750,6,332
11/22/2000,101.37500,101.81250,101.37500,101.81250,29,347
11/24/2000,101.50000,101.50000,101.50000,101.50000,2,347
11/27/2000,101.25000,101.25000,101.25000,101.25000,100,380
11/28/2000,101.46875,101.59375,101.12500,101.56250,90,418
11/29/2000,101.46875,101.81250,101.46875,101.81250,239,528
11/30/2000,102.09375,102.81250,102.00000,102.62500,113,556
12/01/2000,102.06250,102.06250,101.90625,102.03125,81,564
12/04/2000,102.37500,102.37500,101.81250,101.84375,93,648
12/05/2000,102.50000,102.68750,102.50000,102.65625,65,692
12/06/2000,103.56250,103.59375,102.68750,103.50000,670,906
12/07/2000,103.46875,103.84375,103.00000,103.65625,266,1129
12/08/2000,103.46875,103.46875,102.93750,103.31250,111,1101
12/11/2000,103.43750,103.43750,103.03125,103.25000,46,1141
12/12/2000,103.37500,103.37500,103.37500,103.37500,30,1141
12/13/2000,103.31250,104.09375,103.25000,104.06250,134,1191
12/14/2000,104.50000,104.96875,104.40625,104.50000,380,1321
12/15/2000,104.43750,104.84375,104.43750,104.75000,308,1417
12/18/2000,104.68750,105.18750,104.62500,104.62500,182,1569
12/19/2000,104.37500,104.50000,104.09375,104.46875,121,1641
12/20/2000,104.96875,105.37500,104.65625,105.09375,440,1856
12/21/2000,105.09375,105.43750,104.59375,105.34375,498,2135
12/22/2000,105.15625,105.56250,104.90625,105.53125,41,2080
12/26/2000,105.46875,105.59375,104.84375,105.31250,37,2085
12/27/2000,104.93750,105.03125,104.56250,104.75000,197,2251
12/28/2000,104.75000,104.84375,104.46875,104.71875,118,2289
12/29/2000,104.93750,105.18750,104.50000,104.56250,390,2439
01/02/2001,106.31250,106.31250,104.75000,106.18750,598,2517
01/03/2001,106.34375,106.50000,104.18750,104.31250,1324,2900
01/04/2001,104.25000,104.87500,103.96875,104.87500,2463,3387
01/05/2001,104.96875,105.34375,104.37500,105.34375,1242,3583
01/08/2001,105.06250,105.53125,105.06250,105.34375,118,3407
01/09/2001,104.78125,105.21875,104.53125,105.06250,6640,8446
01/10/2001,104.53125,105.03125,104.12500,104.28125,6257,12560
01/11/2001,104.09375,104.43750,103.37500,103.46875,1644,13088
01/12/2001,102.68750,103.37500,102.59375,102.65625,860,13235
01/16/2001,102.93750,103.09375,102.59375,102.93750,163,13329
01/17/2001,103.09375,104.09375,102.62500,103.81250,1333,13237
01/18/2001,104.21875,104.50000,103.56250,104.50000,908,13908
01/19/2001,104.18750,104.21875,103.34375,103.43750,1712,15280
01/22/2001,103.43750,103.43750,102.81250,102.90625,1494,16048
01/23/2001,102.87500,103.40625,102.28125,102.31250,4069,16774
01/24/2001,102.28125,102.71875,101.96875,102.15625,2046,15893
01/25/2001,102.15625,102.90625,101.68750,102.65625,2117,16415
01/26/2001,102.93750,103.12500,102.25000,102.50000,1903,17031
01/29/2001,102.53125,102.71875,102.00000,102.12500,1834,17413
01/30/2001,102.00000,103.28125,102.00000,103.12500,3733,18868
01/31/2001,103.34375,104.00000,103.12500,103.71875,3434,19307
02/01/2001,104.00000,105.09375,104.00000,104.81250,3909,20942
02/02/2001,104.15625,104.93750,104.09375,104.09375,7141,23945
02/05/2001,104.21875,104.65625,104.09375,104.37500,6215,26641
02/06/2001,104.40625,104.43750,103.93750,104.06250,3991,28675
02/07/2001,104.12500,104.56250,103.90625,104.06250,3411,30958
02/08/2001,103.93750,104.25000,103.46875,104.06250,3645,31401
02/09/2001,104.12500,104.78125,104.03125,104.68750,5166,35717
02/12/2001,104.68750,104.68750,104.00000,104.12500,14018,41636
02/13/2001,104.28125,104.71875,103.68750,103.93750,7204,45674
02/14/2001,104.06250,104.15625,103.62500,103.75000,17313,57985
02/15/2001,103.43750,103.46875,102.68750,102.90625,12530,62165
02/16/2001,103.18750,103.50000,102.28125,103.43750,9648,63350
02/20/2001,103.56250,103.59375,102.96875,103.53125,25227,84055
02/21/2001,103.37500,103.59375,102.75000,103.03125,30708,100969
02/22/2001,103.18750,103.46875,102.62500,102.90625,68785,136027
02/23/2001,102.75000,103.75000,102.68750,103.43750,83036,176191
02/26/2001,103.37500,104.09375,103.12500,103.93750,11596,253323
02/27/2001,104.09375,105.31250,104.06250,105.15625,150449,309800
02/28/2001,105.18750,105.56250,104.71875,105.28125,412669,375128
03/01/2001,105.50000,106.12500,105.50000,105.93750,336394,393409
03/02/2001,105.78125,106.18750,104.68750,104.78125,300420,405570
03/05/2001,104.81250,105.00000,104.50000,104.81250,145004,411882
03/06/2001,104.62500,105.28125,104.40625,104.62500,234440,426564
03/07/2001,104.71875,105.68750,104.59375,105.43750,260307,437481
03/08/2001,105.56250,105.96875,105.37500,105.62500,200260,441852
03/09/2001,105.65625,105.90625,104.84375,105.40625,242883,449505
03/12/2001,105.43750,105.93750,105.28125,105.56250,172737,453901
03/13/2001,105.84375,105.84375,105.18750,105.34375,218881,459907
03/14/2001,105.37500,106.46875,105.37500,106.03125,312549,474584
03/15/2001,106.18750,106.53125,105.75000,106.12500,234733,474973
03/16/2001,106.21875,106.90625,106.15625,106.53125,267171,484905
03/19/2001,106.53125,106.53125,105.93750,106.03125,107658,493137
03/20/2001,106.12500,106.62500,105.84375,106.34375,154994,490157
03/21/2001,106.62500,106.84375,106.18750,106.34375,225211,490022
03/22/2001,106.34375,107.25000,106.18750,106.87500,293147,500348
03/23/2001,106.53125,106.59375,105.96875,106.12500,165600,497509
03/26/2001,106.00000,106.06250,105.21875,105.40625,161156,495892
03/27/2001,105.31250,105.75000,103.96875,104.12500,272300,500377
03/28/2001,104.18750,104.46875,103.81250,104.00000,175231,485401
03/29/2001,104.12500,104.37500,103.53125,103.90625,195148,481986
03/30/2001,103.65625,104.65625,103.50000,104.18750,253031,487072
04/02/2001,104.40625,104.46875,103.62500,103.87500,181864,481477
04/03/2001,103.78125,104.21875,103.50000,104.03125,187911,486444
04/04/2001,104.15625,104.25000,103.53125,103.93750,221777,486762
04/05/2001,104.03125,104.18750,103.50000,103.62500,194683,492913
04/06/2001,103.56250,104.87500,103.50000,104.65625,297109,491531
04/09/2001,104.62500,104.71875,104.03125,104.15625,119929,483982
04/10/2001,104.06250,104.09375,102.15625,102.40625,346449,496788
04/11/2001,102.43750,102.75000,101.96875,102.50000,269817,491162
04/12/2001,102.34375,102.90625,102.12500,102.31250,190921,483543
04/16/2001,102.25000,102.50000,101.09375,101.18750,190718,499988
04/17/2001,101.46875,101.93750,101.31250,101.87500,199541,496623
04/18/2001,101.53125,102.09375,100.75000,102.00000,326941,510115
04/19/2001,101.81250,101.90625,100.03125,100.53125,280313,500192
04/20/2001,100.18750,101.06250,99.96875,100.50000,243213,502530
04/23/2001,100.50000,101.43750,100.34375,101.25000,170235,478900
04/24/2001,101.31250,101.34375,100.65625,101.00000,226108,484160
04/25/2001,100.96875,101.53125,100.46875,100.62500,231874,480436
04/26/2001,100.68750,101.71875,100.46875,101.53125,257806,475261
04/27/2001,101.56250,101.90625,100.12500,100.25000,203908,471296
04/30/2001,100.25000,100.59375,99.96875,100.46875,181300,473184
05/01/2001,100.40625,101.34375,100.28125,101.03125,183059,466885
05/02/2001,101.00000,101.71875,100.75000,101.53125,242891,471395
05/03/2001,101.56250,102.50000,101.53125,102.40625,234749,460871
05/04/2001,102.31250,103.28125,101.87500,102.34375,315702,456326
05/07/2001,102.12500,102.31250,101.84375,102.09375,105395,451799
05/08/2001,102.12500,102.43750,101.37500,101.65625,221015,459492
05/09/2001,101.59375,102.31250,101.34375,102.15625,246321,454362
05/10/2001,102.21875,102.28125,100.87500,101.03125,234320,452953
05/11/2001,100.90625,101.09375,99.09375,99.18750,323824,447991
05/14/2001,99.62500,99.75000,99.34375,99.62500,164074,432055
05/15/2001,99.62500,99.81250,98.75000,99.03125,223284,434171
05/16/2001,98.93750,100.00000,98.93750,99.43750,300413,428317
05/17/2001,99.46875,100.37500,99.15625,100.09375,330701,419329
05/18/2001,100.40625,100.81250,100.09375,100.40625,258013,410382
05/21/2001,100.31250,100.71875,99.75000,100.46875,163365,401104
05/22/2001,100.56250,100.65625,100.21875,100.31250,212047,375414
05/23/2001,100.21875,100.71875,99.84375,100.12500,259482,361350
05/24/2001,100.18750,100.59375,99.06250,99.25000,297259,330089
05/25/2001,99.46875,99.71875,99.09375,99.21875,196318,317858
05/29/2001,99.37500,99.71875,99.00000,99.18750,315159,226874
05/30/2001,99.18750,99.53125,99.03125,99.25000,112101,151644
05/31/2001,99.46875,100.37500,99.37500,100.18750,50600,128127
06/01/2001,100.21875,101.28125,99.90625,101.00000,46768,102198
06/04/2001,101.12500,101.43750,100.90625,101.25000,8108,95088
06/05/2001,101.09375,101.78125,100.93750,101.65625,16067,87435
06/06/2001,101.46875,101.75000,101.25000,101.68750,17467,78805
06/07/2001,101.75000,101.96875,100.87500,101.09375,21603,63214
06/08/2001,101.00000,101.31250,100.84375,100.90625,12951,53577
06/11/2001,100.84375,101.75000,100.84375,101.46875,18646,41922
06/12/2001,101.43750,102.15625,101.43750,101.93750,6894,33742
06/13/2001,102.15625,102.15625,101.43750,101.90625,4935,31242
06/14/2001,101.96875,102.43750,101.87500,102.21875,8697,24695
06/15/2001,102.15625,102.65625,101.75000,101.81250,2715,22867
06/18/2001,101.84375,102.03125,101.56250,101.75000,6707,20296
06/19/2001,101.34375,101.96875,101.25000,101.90625,10894,13214
06/20/2001,102.00000,102.40625,101.93750,102.40625,8108,5656
