800811,75.0625,75.0625,74.28125,74.375,26,83
800812,74.375,75.1875,74.375,75.125,28,82
800813,75.3125,75.3125,75.3125,75.3125,0,82
800814,75.375,75.375,75.375,75.375,0,82
800815,75.0625,76.3125,75.0625,76.3125,1,81
800818,74.875,74.90625,74.46875,74.5,0,81
800819,74.6875,74.6875,73.8125,73.8125,2,80
800820,73.65625,74.0625,73.40625,74,1,79
800821,73.59375,73.84375,73.15625,73.84375,2,80
800822,74.0625,74.5,73.78125,74.5,3,78
800825,73.5,73.8125,73.3125,73.3125,1,77
800826,73.5,73.78125,73.3125,73.3125,1,76
800827,73.1875,73.1875,72.5,72.5,11,75
800828,72.5,72.5,71.8125,71.8125,7,73
800829,71.59375,73.25,71.59375,73.25,6,67
800902,74.3125,74.3125,74.3125,74.3125,0,67
800903,75.0625,75.25,74.65625,74.9375,10,67
800904,74.625,74.625,74.625,74.625,0,67
800905,74.53125,74.875,74.09375,74.28125,2,66
800908,73.65625,73.65625,73.65625,73.65625,0,66
800909,74.46875,74.46875,74.46875,74.46875,0,66
800910,74.75,74.9375,74.4375,74.46875,5,61
800911,73.875,73.875,73.5625,73.59375,1,60
800912,73.59375,73.59375,73.28125,73.28125,0,60
800915,72,72,72,72,0,60
800916,72.46875,72.625,72.46875,72.625,10,50
800917,71.875,71.875,71.875,71.875,0,50
800918,72.4375,72.4375,72.4375,72.4375,0,50
800919,73.125,73.125,73.125,73.125,4,49
800922,71.125,71.125,71.125,71.125,0,49
800923,71.15625,71.15625,70.8125,70.8125,15,34
800924,71.25,71.25,71.25,71.25,0,34
800925,70.3125,70.3125,70.3125,70.3125,0,34
800926,69.625,69.625,69.625,69.625,0,34
800929,68.84375,68.84375,68.84375,68.84375,0,34
800930,70.625,70.625,70.625,70.625,0,34
801001,70.4375,70.4375,70.4375,70.4375,0,34
801002,70.46875,70.46875,70.46875,70.46875,0,34
801003,72.46875,72.46875,72.46875,72.46875,0,34
801006,73.1875,73.1875,73.1875,73.1875,0,34
801007,72.6875,72.6875,72.6875,72.6875,0,34
801008,72.09375,72.40625,72.09375,72.40625,5,29
801009,74.15625,74.15625,74.15625,74.15625,0,29
801010,73.59375,73.59375,73.59375,73.59375,0,29
801013,73.4375,73.4375,73.4375,73.4375,0,29
801014,74,74,74,74,0,29
801015,74.21875,74.21875,74.21875,74.21875,0,29
801016,73.09375,73.09375,73.09375,73.09375,0,29
801017,72.15625,72.15625,72.15625,72.15625,0,29
801020,72.09375,72.09375,72.09375,72.09375,0,29
801021,72.1875,72.1875,71.25,71.25,1,28
801022,70.65625,70.65625,70.65625,70.65625,0,28
801023,70.5625,70.5625,70.5625,70.5625,0,28
801024,70.65625,71.09375,70.65625,71.09375,22,6
801027,69.09375,69.09375,69.09375,69.09375,0,6
801028,68.09375,68.09375,68.09375,68.09375,0,6
801029,67.46875,67.46875,67.46875,67.46875,0,6
801030,67.3125,67.3125,67.3125,67.3125,0,6
801031,67.65625,67.65625,67.65625,67.65625,0,6
801103,67.34375,67.9375,67.34375,67.9375,6,0
801105,66.375,66.375,66.375,66.375,0,0
801106,65.78125,65.78125,65.78125,65.78125,0,0
801107,67.125,67.125,67.125,67.125,0,0
801110,66.09375,66.09375,66.09375,66.09375,0,0
801111,68.09375,68.09375,68.09375,68.09375,0,0
801112,68.65625,68.65625,68.65625,68.65625,0,0
801113,68.78125,68.78125,68.78125,68.78125,0,0
801114,67.5625,67.5625,67.5625,67.5625,0,0
801117,66.6875,66.6875,66.6875,66.6875,0,0
801118,68.3125,68.3125,68.3125,68.3125,0,0
